Brand,Category,Colour,Product Link,Main Image,Product Name,Current Price,,,,,,,,,,,
Sosander,Tops,Green,https://www.sosandar.com/petite-green-palm-print-tie-front-shirt,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_crop_2404_41_s24tw160gran01_41_127_1.jpg,Petite Green Palm Print Tie Front Shirt,£45.00,,,,,,,,,,,petite green palm print tie front shirt
Sosander,Tops,Green,https://www.sosandar.com/petite-green-floral-print-tie-detail-blouse,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2403_165_s24tw098grfl01_16519944_1.jpg,Petite Green Floral Print Tie Detail Blouse,£49.00,,,,,,,,,,,petite green floral print tie detail blouse
Sosander,Dresses,Purple,https://www.sosandar.com/petite-purple-ruched-detail-angel-sleeve-maxi-dress,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2403_102_s24dj068pe0015_102_038_2_rt2.jpg,Petite Purple Ruched Detail Angel Sleeve Maxi Dress,£75.00,,,,,,,,,,,petite purple ruched detail angel sleeve maxi dress
Sosander,Shorts,Blue,https://www.sosandar.com/petite-light-wash-utility-denim-shorts,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2403_78__s24tj154we0001_s24bd026dm001w_78_489_1_1.jpg,Petite Light Wash Utility Denim Shorts,£45.00,,,,,,,,,,,petite light wash utility denim shorts
Sosander,Jumpsuits & Playsuits,Blue,https://www.sosandar.com/petite-cobalt-blue-halter-neck-jumpsuit-with-gold-chain-detail,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2403_106_s24jj022be0001_106_103_rt_1_1.jpg,Petite Cobalt Blue Halter Neck Jumpsuit With Gold Chain Detail,£89.00,,,,,,,,,,,petite cobalt blue halter neck jumpsuit with gold chain detail
Sosander,Tops,Cream,https://www.sosandar.com/petite-cream-ribbed-sleeveless-bodysuit,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2404_06_s24tj042nl0001_06_113_rt2_1_1.jpg,Petite Cream Ribbed Sleeveless Bodysuit,£35.00,,,,,,,,,,,petite cream ribbed sleeveless bodysuit
Sosander,Blazers,Red,https://www.sosandar.com/petite-stone-cropped-tailored-blazer,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2402_62_-a23sw028eu0001_s24ow023eu0_003_1_1.jpg,Petite Stone Cropped Tailored Blazer,£65.00,,,,,,,,,,,petite stone cropped tailored blazer
Sosander,Trousers,Red,https://www.sosandar.com/petite-navy-blue-side-button-tapered-leg-trousers,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2401_27_s24bw003be0003_s24ow060be0003_27_103_1.jpg,Petite Navy Blue Side Button Tapered Leg Trousers,£55.00,,,,,,,,,,,petite navy blue side button tapered leg trousers
Sosander,Dresses,Red,https://www.sosandar.com/petite-navy-blue-gold-metallic-spot-tiered-hem-bardot-maxi-dress,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2403_26_s24dw090nv0001_26_077_1.jpg,Petite Navy Blue & Gold Metallic Spot Tiered Hem Bardot Maxi Dress,£85.00,,,,,,,,,,,petite navy blue & gold metallic spot tiered hem bardot maxi dress
Sosander,Trousers,Burgundy,https://www.sosandar.com/petite-burgundy-wide-leg-cargo-trousers,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2402_46_s24bw045rd0004_s24tj140rd0004_46_044_2_1.jpg,Petite Burgundy Wide Leg Cargo Trousers,£55.00,,,,,,,,,,,petite burgundy wide leg cargo trousers
Sosander,Dresses,Red,https://www.sosandar.com/petite-red-paisley-print-belted-midi-shirt-dress,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2401_68_s24dw042rdcv01_68_200_1.jpg,Petite Red Paisley Print Belted Midi Shirt Dress,£79.00,,,,,,,,,,,petite red paisley print belted midi shirt dress
