Brand,Product Link,Main Image,Current Price,Category,Product Name,Colour,Swatch Image 1,Swatch Image 2,Discount,Original Price,Swatch Image 3
Pixie Girl,https://www.pixiegirl.com/pixiegirl-2-pack-black-white-bandeau-tops-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/12b7855f-033f-44_224408_MS.jpg,£10,Tops,PixieGirl 2 PACK Black & White Bandeau Tops,Black,,,(33% OFF),£14.99,
Pixie Girl,https://www.pixiegirl.com/pixiegirl-black-square-neck-vest-top-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/fabd0e24-3bd4-4f_224840_224409_L1.jpg,£5,Tops,PixieGirl Black Square Neck Vest Top,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/2c929604-bc22-45_224436_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/4bd701b6-00fc-49_224437_X.jpg,(50% OFF),£9.99,https://cdn.pixiegirl.com/Images/ProductImages/Small/95439458-9bf3-48_224438_X.jpg
Pixie Girl,https://www.pixiegirl.com/pixiegirl-black-bandeau-top-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/f11f84f1-637b-48_224406_224563_L2.jpg,£7.99,Tops,PixieGirl Black Bandeau Top,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/cf7232a0-fa21-48_224407_X.jpg,,,,
Pixie Girl,https://www.pixiegirl.com/pixiegirl-black-utility-wide-leg-jumpsuit-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/b8c6d5c4-67d0-47_224489_A.jpg,£34.99,Jumpsuits & Playsuits,PixieGirl Black Utility Wide Leg Jumpsuit,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/a3994dbf-8362-4d_224488_X.jpg,,,,
Pixie Girl,https://www.pixiegirl.com/cowl-neck-slip-dress-zebra-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/36534395-421d-4d_224284_B.jpg,£29.99,Dresses,PixieGirl Black Zebra Print Cowl Neck Maxi Slip Dress,Black,,,,,
Pixie Girl,https://www.pixiegirl.com/blk-harem-trs-224416-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/fd3b969b-b606-4f_224416_A.jpg,£10,Trousers,PixieGirl Black Harem Trousers,Black,,,(44% OFF),£17.99,
Pixie Girl,https://www.pixiegirl.com/pixiegirl-black-crochet-midi-beach-dress-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/be54d2c1-a228-42_224165_L2.jpg,£26.99,Dresses,PixieGirl Black Crochet Midi Beach Dress,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/c3fb964a-78d5-4b_224166_X.jpg,,,,
Pixie Girl,https://www.pixiegirl.com/bias-cut-snake-print-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/40291b5a-1700-4e_224492_A.jpg,£10,Skirts,PixieGirl Black Snake Print Satin Midaxi Skirt,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/67122852-8447-48_224573_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/7fab8381-592a-4a_223867_X.jpg,(58% OFF),£23.99,https://cdn.pixiegirl.com/Images/ProductImages/Small/d002d6a1-99af-45_224567_X.jpg
Pixie Girl,https://www.pixiegirl.com/blk-scuba-wrap-pencil-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/0e5e0873-ca3f-4a_225072_A.jpg,£17.99,Skirts,PixieGirl Black Scuba Midi Wrap Skirt,Black,,,,,
Pixie Girl,https://www.pixiegirl.com/blk-maxi-skirt-with-split-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/d33fce20-cfe9-4f_224417_A.jpg,£17.99,Skirts,PixieGirl Black Side Split Maxi Skirt,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/00ff79b0-a96f-44_225566_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/81ae53d8-4393-4c_225567_X.jpg,,,
