Position,Category,Brand,Colour,Product Name,Main Image,Product Link,Discount,Original Price,Current Price
61,Trousers,Papaya,Red,Papaya Petite Red Co Ord Wide Leg Trousers,https://ml.thcdn.com/productimg/960/960/15149913-3885170612979148.jpg,https://www.matalan.co.uk/clothing/papaya-petite-red-co-ord-wide-leg-trousers/15149913.html,SALE,£19.00,£6.00
62,Tops,Papaya,Cream,Papaya Petite Cream Wellness Sweatshirt,https://ml.thcdn.com/productimg/960/960/15350907-1105189348914410.jpg,https://www.matalan.co.uk/clothing/papaya-petite-cream-wellness-sweatshirt/15350907.html,,,£18.00
63,Tops,Papaya,Gray,Papaya Petite Charcoal Textured Co Ord Top,https://ml.thcdn.com/productimg/960/960/15043886-7245132816399658.jpg,https://www.matalan.co.uk/clothing/papaya-petite-charcoal-textured-co-ord-top/15043886.html,,,£12.50
64,Tops,Papaya,Cream,Papaya Petite Cream Lace T-Shirt,https://ml.thcdn.com/productimg/960/960/15055274-1425154565007607.jpg,https://www.matalan.co.uk/clothing/papaya-petite-cream-lace-t-shirt/15055274.html,SALE,£15.00,£10.50
65,Tops,Papaya,Black,Papaya Petite Black Oversized Wellness T-Shirt,https://ml.thcdn.com/productimg/960/960/15324544-2025190605693163.jpg,https://www.matalan.co.uk/clothing/papaya-petite-black-oversized-wellness-t-shirt/15324544.html,,,£10.00
66,Dresses,Papaya,Cream,Papaya Petite Cream Scoop Neck Midi Dress,https://ml.thcdn.com/productimg/960/960/15391438-6785181363211047.jpg,https://www.matalan.co.uk/clothing/papaya-petite-cream-scoop-neck-midi-dress/15391438.html,SALE,£17.00,£8.50
67,Dresses,Papaya,Brown,Papaya Petite Brown Animal Plisse Midi Dress,https://ml.thcdn.com/productimg/960/960/15336186-1775192969695992.jpg,https://www.matalan.co.uk/clothing/papaya-petite-brown-animal-plisse-midi-dress/15336186.html,,,£24.00
68,Dresses,Papaya,Brown,Papaya Petite Brown Leopard Print Boho Midi Dress,https://ml.thcdn.com/productimg/960/960/15040009-1065134888204134.jpg,https://www.matalan.co.uk/clothing/papaya-petite-brown-leopard-print-boho-midi-dress/15040009.html,SALE,£25.00,£7.00
69,Trousers,Papaya,Red,Papaya Petite Red Scarf Print Wide Leg Trousers,https://ml.thcdn.com/productimg/960/960/15149921-5745151179277048.jpg,https://www.matalan.co.uk/clothing/papaya-petite-red-scarf-print-wide-leg-trousers/15149921.html,SALE,£15.00,£10.50
70,Dresses,Papaya,Khaki,Papaya Petite Khaki Hyper Textured Midi Dress,https://ml.thcdn.com/productimg/960/960/15061011-1985139521959575.jpg,https://www.matalan.co.uk/clothing/papaya-petite-khaki-hyper-textured-midi-dress/15061011.html,SALE,£15.00,£10.50
71,Dresses,Papaya,Navy,Papaya Petite Navy Daisy Viscose Cami Midi Dress,https://ml.thcdn.com/productimg/960/960/15208198-1315150960611692.jpg,https://www.matalan.co.uk/clothing/papaya-petite-navy-daisy-viscose-cami-midi-dress/15208198.html,SALE,£15.00,£4.50
72,Tops,Papaya,,Papaya Petite Textured Cami Top,https://ml.thcdn.com/productimg/960/960/15149853-9355152257933411.jpg,https://www.matalan.co.uk/clothing/papaya-petite-textured-cami-top/15149853.html,SALE,£9.00,£2.50
73,Dresses,Papaya,Navy,Papaya Petite Navy Paisley Midi Dress,https://ml.thcdn.com/productimg/381/533/15268205-8025181352731429.jpg,https://www.matalan.co.uk/clothing/papaya-petite-navy-paisley-midi-dress/15268205.html,,£26.00,£15.50
74,Dresses,Papaya,Floral,Papaya Petite Multicolour Floral Woven Frill Mini Dress,https://ml.thcdn.com/productimg/960/960/15084143-3095134870238154.jpg,https://www.matalan.co.uk/clothing/papaya-petite-multicolour-floral-woven-frill-mini-dress/15084143.html,,£21.00,£6.00
75,Skirts,Papaya,Pink,Papaya Petite Pink Aztec Print Midi Skirt,https://ml.thcdn.com/productimg/960/960/15060665-1295140358267064.jpg,https://www.matalan.co.uk/clothing/papaya-petite-pink-aztec-print-midi-skirt/15060665.html,,£17.00,£5.00
76,Tops,Papaya,,Papaya Petite Textured Cami Top,https://ml.thcdn.com/productimg/960/960/15149853-9355152257933411.jpg,https://www.matalan.co.uk/clothing/papaya-petite-textured-cami-top/15149853.html,,£9.00,£2.50
77,Tops,Papaya,Floral,Papaya Petite Monochrome Floral Cami Top,https://ml.thcdn.com/productimg/960/960/15267493-2115170632488049.jpg,https://www.matalan.co.uk/clothing/papaya-petite-monochrome-floral-cami-top/15267493.html,,£8.00,£3.00
