Brand,Category,Colour,Product Link,Main Image,Product Name,Current Price,Original Price,Swatch Image 1,Swatch Image 2,Swatch Image 3,Swatch Image 4
Wallis,Coats & Jackets,Green,https://www.warehousefashion.com/product/wallis-petite-military-double-breasted-longline-coat_byy11641?colour=forest,https://mediahub.debenhams.com/byy11641_forest_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Military Double Breasted Longline Coat,£119.00,,https://mediahub.debenhams.com/byy11641_forest_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/byy11641_berry_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,,
Pixie Girl,Coats & Jackets,Green,https://www.warehousefashion.com/product/Pixie Girl-petite-gilet_p-7e9e179f-0db1-4524-859b-ddfe40c49763?colour=Green,https://mediahub.debenhams.com/m5059738914115_green_xl.jpeg?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Gilet,£25.50,£44.99,,,,
Wallis,Dresses,Green,https://www.warehousefashion.com/product/wallis-petite-occasion-floral-buckle-detail-midaxi-dress_byy13536?colour=green,https://mediahub.debenhams.com/byy13536_green_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Occasion Floral Buckle Detail Midaxi Dress,£51.75,£69.00,https://mediahub.debenhams.com/byy13536_green_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/byy13536_navy_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,,
Oasis,Skirts,Green,https://www.warehousefashion.com/product/oasis-petite-stripe-frill-shirred-mini-skirt_baa09881?colour=green,https://mediahub.debenhams.com/baa09881_green_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Stripe Frill Shirred Mini Skirt,£13.00,£29.00,,,,
Wallis,Dresses,Green,https://www.warehousefashion.com/product/wallis-petite-ditsy-floral-jersey-strappy-midi-sundress_byy12183?colour=green,https://mediahub.debenhams.com/byy12183_green_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Ditsy Floral Jersey Strappy Midi Sundress,£22.00,£45.00,,,,
Pixie Girl,Jumpsuits & Playsuits,Green,https://www.warehousefashion.com/product/Pixie Girl-petite-jersey-flared-jumpsuit_p-1c54731c-94eb-4930-955a-5906cf637b02?colour=Green,https://mediahub.debenhams.com/m5063111443666_green_xl.jpeg?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Jersey Flared Jumpsuit,£17.00,£27.99,,,,
Pixie Girl,Skirts,Green,https://www.warehousefashion.com/product/Pixie Girl-petite-cargo-ruched-midi-skirt_p-e2714afb-9022-4e4d-a4b3-eb52ee848bd5?colour=Green,https://mediahub.debenhams.com/m5063111629954_green_xl.jpeg?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Cargo Ruched Midi Skirt,£27.19,£31.99,,,,
Pixie Girl,Tops,Green,https://www.warehousefashion.com/product/Pixie Girl-petite-long-sleeve-smock-top_p-781769a4-4388-4ca8-b176-86b8d96a2379?colour=Green,https://mediahub.debenhams.com/m5063110841166_green_xl.jpeg?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Long Sleeve Smock Top,£17.00,£29.99,,,,
Pixie Girl,Tops,Green,https://www.warehousefashion.com/product/Pixie Girl-petite-henley-top_p-6d982a4b-5aa5-42c3-962d-04ece6ec5e50?colour=Dark%20Green,https://mediahub.debenhams.com/m5063111769490_dark%20green_xl.jpeg?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Henley Top,£19.54,£22.99,,,,
Pixie Girl,Trousers,Green,https://www.warehousefashion.com/product/Pixie Girl-petite-utility-trousers_p-4d3fb128-249d-4eca-8761-0ecb94b50ebd?colour=Green,https://mediahub.debenhams.com/m5063111418541_green_xl.jpeg?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Utility Trousers,£27.19,£31.99,,,,
Pixie Girl,Dresses,Green,https://www.warehousefashion.com/product/Pixie Girl-petite-printed-maxi-dress_p-11bd1498-1d14-43e7-a8cd-c5bd5a917f33?colour=Green,https://mediahub.debenhams.com/m5063111445448_green_xl.jpeg?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Printed Maxi Dress,£29.74,£34.99,,,,
Wallis,Dresses,Green,https://www.warehousefashion.com/product/wallis-petite-floral-tie-shift-dress_byy10442?colour=green,https://mediahub.debenhams.com/byy10442_green_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Floral Tie Shift Dress,£19.25,£55.00,,,,
