Brand,Category,Product Link,Main Image,Product Name,Colour,Current Price,Main Image,Swatch Image 1,Swatch Image 2,Swatch Image 3,Discount,Original Price
Pixie Girl,Skirts,https://www.pixiegirl.com/pixiegirl-blue-denim-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/c07b7f28-ab25-48_222933_A.jpg,PixieGirl Blue Denim Midi Skirt,Blue,£15,https://cdn.pixiegirl.com/Images/ProductImages/Big/c07b7f28-ab25-48_222933_A.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/6a128ad8-6c6a-4f_223499_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/8c65adbd-6a48-43_223811_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/26e5bf4f-1ace-48_223926_X.jpg,(49% OFF),£29.50
Pixie Girl,Dresses,https://www.pixiegirl.com/blue-angel-slv-maxi-smock-dress-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/ca1bafa5-cfa9-41_223524_A.jpg,PixieGirl Blue Blur Print Maxi Smock Dress,Blue,£15,https://cdn.pixiegirl.com/Images/ProductImages/Big/ca1bafa5-cfa9-41_223524_A.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/4bbb4465-10e1-4c_223523_X.jpg,,,(50% OFF),£29.99
Pixie Girl,Tops,https://www.pixiegirl.com/blue-ls-viscose-shirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/5cfc035c-a511-47_223713_A.jpg,PixieGirl Blue Long Sleeve Denim Shirt,Blue,£10,https://cdn.pixiegirl.com/Images/ProductImages/Big/5cfc035c-a511-47_223713_A.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/10975035-008c-4a_223637_X.jpg,,,(60% OFF),£24.99
Pixie Girl,Knitwear,https://www.pixiegirl.com/pixiegirl-navy-blue-nyc-slogan-sweatshirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/dfcc8a6c-d7ff-4e_224291.jpg,PixieGirl Navy Blue 'NYC' Print Jumper,Blue,£15,https://cdn.pixiegirl.com/Images/ProductImages/Big/dfcc8a6c-d7ff-4e_224291.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/2ec3db44-6d98-49_224292_X.jpg,,,(40% OFF),£24.99
Pixie Girl,Dresses,https://www.pixiegirl.com/pixiegirl-blue-white-ikat-print-tiered-maxi-dress-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/5910767f-c8e1-4f_224655_L6.jpg,PixieGirl Blue & White Ikat Print Tiered Maxi Dress,Blue,£10,https://cdn.pixiegirl.com/Images/ProductImages/Big/5910767f-c8e1-4f_224655_L6.jpg,,,,(67% OFF),£29.99
Pixie Girl,Skirts,https://www.pixiegirl.com/pixiegirl-dark-blue-pocket-patch-denim-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/cfe4061e-97cc-45_225336_A.jpg,PixieGirl Dark Blue Pocket Patch Denim Skirt,Blue,£29.99,https://cdn.pixiegirl.com/Images/ProductImages/Big/cfe4061e-97cc-45_225336_A.jpg,,,,,
Pixie Girl,Nightwear & Loungewear,https://www.pixiegirl.com/pixiegirl-navy-blue-luxe-fleece-foil-star-pyjama-short-set-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/70dd693a-db6a-40_225369_A.jpg,PixieGirl Navy Blue Luxe Fleece Foil Star Pyjama Short Set,Blue,£29.99,https://cdn.pixiegirl.com/Images/ProductImages/Big/70dd693a-db6a-40_225369_A.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/bef68b13-61b4-4d_225353_X.jpg,,,,
Pixie Girl,Tops,https://www.pixiegirl.com/pixiegirl-2-pack-navy-blue-red-button-down-cami-tops-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/dfc419cf-dccd-44_225420_MS.jpg,PixieGirl 2 PACK Navy Blue & Burgundy Red Button Down Cami Tops,Blue,£28.99,https://cdn.pixiegirl.com/Images/ProductImages/Big/dfc419cf-dccd-44_225420_MS.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/c2586eee-4988-4e_224985_XS.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/10eb6da6-af18-4b_224986_XS.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/f3e3f643-8a6d-44_225421_XS.jpg,,
Pixie Girl,Dungarees,https://www.pixiegirl.com/denim-blue-dungaree-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/2b3e9899-e117-49_224368_A.jpg,PixieGirl Light Blue Denim Wide Leg Dungarees,Blue,£35,https://cdn.pixiegirl.com/Images/ProductImages/Big/2b3e9899-e117-49_224368_A.jpg,,,,,
Pixie Girl,Dresses,https://www.pixiegirl.com/pixiegirl-blue-floral-print-tassel-maxi-dress-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/4c02bb75-aff9-41_224653_A.jpg,PixieGirl Blue Floral Print Tassel Maxi Dress,Blue,£35,https://cdn.pixiegirl.com/Images/ProductImages/Big/4c02bb75-aff9-41_224653_A.jpg,,,,,
